id;Word;Frequency;Reading;English;Heisig_numbers;Heisig_chapter;kana_tier;kind
37;や;1734.3;や;Parallel marker;[];0;1;vocab
38;ば;1732.41;ば;Conditional particle;[];0;;morpheme
39;それ;1479.29;それ;Determiner;[];0;1;vocab
40;者;1451.45;もの;person;[1345];34;;vocab
41;できる;1437.45;できる;to be able to;[];0;1;vocab
42;これ;1428.85;これ;Determiner;[];0;1;vocab
43;言う;1263.36;いう;to say;[357];15;;vocab
44;くる;1238.3;くる;verb (to come);[];0;2;vocab
45;月;1193.14;つき;month/moon;[13];1;;vocab
46;として;1186.32;として;Compound particle;[];0;3;vocab
47;さん;1174.8;さん;suffix (honorific);[];0;1;vocab
48;まで;1136.97;まで;Adverbial/Focus particle;[];0;1;vocab
49;たい;1126.11;たい;Auxiliary;[];0;;morpheme
50;など;1100.39;など;Adverbial/Focus particle;[];0;2;vocab
51;中;1089.02;なか;inside/middle;[39];3;;vocab
52;られる;1077.28;られる;Auxiliary;[];0;;morpheme
53;お;1070.51;お;Honorifics;[];0;;morpheme
54;ね;1022.92;ね;Sentence ending particle;[];0;1;vocab
55;へ;1000.99;へ;Case particle;[];0;1;vocab
56;見る;982.69;みる;to see;[61];4;;vocab
57;ため;980.59;ため;Causal particle;[];0;2;vocab
58;てる;963.62;てる;Conjugation;[];0;2;vocab
59;そう;940.51;そう;Auxiliary;[];0;1;vocab
60;日本;925.92;にっぽん;Japan;[12, 224];10;;vocab
61;おる;924.53;おる;Conjugation;[];0;2;vocab
62;一;915.56;いち;one;[1];1;;vocab
63;ので;898.33;ので;Causal particle;[];0;1;vocab
64;いく;895.11;いく;to go;[];0;2;vocab
65;だけ;885.3;だけ;Adverbial/Focus particle;[];0;1;vocab
66;何;877.59;なに;what;[1087];27;;vocab
67;よ;875.29;よ;Sentence ending particle;[];0;1;vocab
68;自分;840.65;じぶん;myself;[36, 844];24;;vocab
69;しまう;839.58;しまう;Conjugation;[];0;2;vocab
70;について;838.17;について;Compound particle;[];0;3;vocab
71;方;829.72;ほう;direction;[529];19;;vocab
72;時;819.66;とき;time;[171];8;;vocab
73;ぬ;791.48;ぬ;Auxiliary;[];0;;morpheme
74;問題;782.05;もんだい;question;[1744, 415];42;;vocab
75;考える;772.03;かんがえる;to think;[1341];34;;vocab
76;せる;748.27;せる;Auxiliary;[];0;;morpheme
77;また;737.44;また;Conjunctive particle;[];0;2;vocab
78;今;703.35;いま;now;[1711];41;;vocab
79;みる;699.98;みる;to see;[];0;2;vocab
80;でも;695.44;でも;Adverbial/Focus particle;[];0;1;vocab
81;やる;675.63;やる;do;[];0;2;vocab
82;わけ;661.99;わけ;Auxiliary;[];0;2;vocab
83;ござる;650.23;ござる;Honorifics;[];0;2;vocab
84;たち;642.6;たち;Uchi;[];0;3;vocab
85;ところ;638.75;ところ;Formal noun;[];0;2;vocab
86;さ;627.78;さ;Sentence ending particle;[];0;3;vocab
87;いい;615.98;いい;good;[];0;2;vocab
88;って;596.98;って;Compound particle;[];0;;morpheme
89;前;590.87;まえ;before/front;[309];13;;vocab
90;第;585.7;だい;No.;[1327];33;;vocab
91;たり;580.14;たり;Conjunctive particle;[];0;;morpheme
92;性;577.58;せい;sex;[1679];40;;vocab
93;行く;568.04;いく;to go;[938];25;;vocab
94;より;563.69;より;Case particle;[];0;3;vocab
95;そして;561.3;そして;Conjunctive particle;[];0;2;vocab
96;けど;560.8;けど;Adversative particle;[];0;1;vocab
97;どう;559.79;どう;copper;[];0;1;vocab
98;出る;551.97;でる;to exit/appear;[829];24;;vocab
99;時間;550.77;じかん;time;[171, 1747];42;;vocab
100;会;549.7;かい;meeting;[814];23;;vocab
101;書く;537.33;かく;write;[349];15;;vocab
102;円;534.03;えん;circle;[1952];48;;vocab
103;二;533.8;に;two;[2];1;;vocab
104;し;533.04;し;Conjunctive particle;[];0;3;vocab
105;場合;527.77;ばあい;case;[584, 269];21;;vocab
106;持つ;526.2;もつ;to hold/have;[712];23;;vocab
107;必要;515.52;ひつよう;necessary;[685, 1730];41;;vocab
108;情報;508.95;じょうほう;news;[1657, 1625];40;;vocab
109;しかし;495.56;しかし;Conjunctive particle;[];0;2;vocab
110;とき;481.44;とき;noun (time);[];0;2;vocab
111;コメント;480.73;コメント;comment;[];0;2;loanword
112;化;478.1;か;transformation;[1083];27;;vocab
113;上;471.03;うえ;above;[50];3;;vocab
114;事;465.43;こと;case;[1240];31;;vocab
115;使う;464.22;つかう;to use;[1065];27;;vocab
116;行う;462.43;おこなう;conduct;[938];25;;vocab
117;な;459.92;な;Sentence ending particle;[];0;3;vocab
118;ご;455.18;ご;Honorifics;[];0;;morpheme
119;話;453.58;はなし;story;[368];15;;vocab
120;くれる;453.14;くれる;Give;[];0;2;vocab
121;ながら;446.16;ながら;Conjunctive particle;[];0;;morpheme
122;よい;442.95;よい;good;[];0;3;vocab
123;本;441.97;ほん;Book;[224];10;;vocab
124;じゃ;432.09;じゃ;well;[];0;;morpheme
125;ここ;430.8;ここ;here;[];0;1;vocab
126;分;429.1;ぶん;minute/part;[844];24;;vocab
127;十;426.14;じゅう;ten;[10];1;;vocab
128;目;425.43;め;eye;[15];1;;vocab
129;多い;424.65;おおい;many;[113];7;;vocab
130;知る;421.45;しる;to know;[1308];33;;vocab
131;今日;412.67;きょう;today;[1711, 12];41;;vocab
132;良い;411.1;よい;good;[1578];38;;vocab
133;関係;408.98;かんけい;relation;[2173, 1493];55;;vocab
134;委員;404.21;いいん;committee member;[979, 59];26;;vocab
135;後;403.3;のち;after/behind;[1479];36;;vocab
136;かも;401.69;かも;Maybe;[];0;2;vocab
137;家;398.34;いえ;house;[580];21;;vocab
138;そういう;394.48;そういう;That;[];0;3;vocab
139;聞く;392.28;きく;to hear/ask;[1754];42;;vocab
140;世界;389.5;せかい;the world;[28, 266];12;;vocab
141;気;389.34;き;spirit/mood;[2030];51;;vocab
142;点;383.39;てん;point;[181];8;;vocab
143;万;382.65;ばん;Ten thousand;[68];4;;vocab
144;べし;381.6;べし;Should;[];0;;morpheme
145;もう;379.18;もう;already;[];0;1;vocab
146;わかる;379.03;わかる;to understand;[];0;3;vocab
147;バック;377.46;バック;back;[];0;2;loanword
148;社会;375.34;しゃかい;society;[1173, 814];30;;vocab
149;読む;375.02;よむ;read;[372];15;;vocab
150;入る;372.01;はいる;to enter;[842];24;;vocab
151;来る;369.72;くる;to come;[2029];51;;vocab
152;トラック;364.89;トラック;track;[];0;2;loanword
153;によって;360.33;によって;Compound particle;[];0;3;vocab
154;仕事;360.12;しごと;work;[1033, 1240];31;;vocab
155;同じ;358.01;おなじ;same;[192];9;;vocab
156;数;355.9;かず;number;[998];26;;vocab
157;記事;354.41;きじ;article;[568, 1240];31;;vocab
158;いただく;346.64;いただく;receive;[];0;3;vocab
159;彼;344.83;かれ;he;[948];25;;vocab
160;大;344.38;だい;large;[112];7;;vocab
161;国;343.9;くに;country;[624];22;;vocab
162;等;336.74;ひとし;etc.;[1016];26;;vocab
163;くださる;330.72;くださる;Give;[];0;3;vocab
164;回;329.46;かい;times;[630];22;;vocab
165;三;328.05;さん;three;[3];1;;vocab
166;とか;326.9;とか;Or;[];0;3;vocab
167;君;324.74;きみ;you (casual);[1246];31;;vocab
168;法;324.66;ほう;law;[813];23;;vocab
169;意味;321.75;いみ;meaning;[654, 233];22;;vocab
170;力;319.16;ちから;force;[922];25;;vocab
171;以上;319.0;いじょう;not less than;[1105, 50];28;;vocab
172;会社;313.99;かいしゃ;company;[814, 1173];30;;vocab
173;よる;310.05;よる;evening;[];0;3;vocab
174;ほど;306.4;ほど;Adverbial/Focus particle;[];0;2;vocab
175;そんな;305.97;そんな;Such;[];0;2;vocab
176;人間;305.03;にんげん;human being;[1023, 1747];42;;vocab
177;現在;298.63;げんざい;now;[275, 740];23;;vocab
178;作る;296.6;つくる;to make;[1224];31;;vocab
179;企業;292.74;きぎょう;enterprise;[401, 1931];47;;vocab
180;氏;292.72;し;Mr.;[1970];49;;vocab
181;ちょっと;288.24;ちょっと;a little bit;[];0;1;vocab
182;間;287.31;ま;between;[1747];42;;vocab
183;可能;286.66;かのう;potential;[97, 2160];54;;vocab
184;感じる;285.81;かんじる;feel;[662];22;;vocab
185;出す;285.39;だす;to put out;[829];24;;vocab
186;研究;285.14;けんきゅう;study;[729, 1417];35;;vocab
187;投稿;282.27;とうこう;contribution;[762, 958];26;;vocab
188;他;281.68;た;others;[1034];27;;vocab
189;アメリカ;280.77;アメリカ;America;[];0;2;loanword
190;しれる;280.21;しれる;Know;[];0;3;vocab
191;けれども;278.23;けれども;Adversative particle;[];0;3;vocab
192;リンク;276.63;リンク;link;[];0;2;loanword
193;今回;276.54;こんかい;now;[1711, 630];41;;vocab
194;いたす;274.0;いたす;to;[];0;3;vocab
195;高い;273.68;たかい;high/expensive;[329];14;;vocab
196;す;273.29;す;vinegar;[];0;;morpheme
197;次;271.58;つぎ;Next;[510];18;;vocab
198;ら;269.14;ら;and others;[];0;;morpheme
199;言葉;267.39;ことば;language;[357, 243];15;;vocab
200;こういう;265.75;こういう;Like this;[];0;3;vocab
201;おく;263.75;おく;Conjugation;[];0;2;vocab
202;僕;263.45;ぼく;I/me (male, casual);[1933];47;;vocab
203;出来る;262.13;できる;possible;[829, 2029];51;;vocab
204;受ける;261.99;うける;receive;[794];23;;vocab
205;経済;259.69;けいざい;economics;[1460, 1868];45;;vocab
206;あなた;256.89;あなた;pronoun (you);[];0;3;vocab
207;手;256.71;て;hand;[687];23;;vocab
208;もらう;256.65;もらう;get;[];0;2;vocab
209;そこ;256.52;そこ;There;[];0;1;vocab
210;による;255.07;による;Compound particle;[];0;3;vocab
211;最近;255.0;さいきん;most recent;[884, 1210];31;;vocab
212;結果;254.97;けっか;result;[1451, 1202];36;;vocab
213;買う;254.9;かう;buy;[894];25;;vocab
214;度;253.91;ど;degree;[1278];32;;vocab
215;しか;252.95;しか;Adverbial/Focus particle;[];0;1;vocab
216;違う;250.53;ちがう;different;[1773];42;;vocab
217;映画;250.2;えいが;movie;[1879, 1254];45;;vocab
218;先生;249.49;せんせい;teacher;[263, 1675];40;;vocab
219;生活;248.26;せいかつ;living;[1675, 154];40;;vocab
220;にる;248.1;にる;Niru;[];0;3;vocab
221;金;247.4;きむ;gold;[287];12;;vocab
222;時代;243.86;じだい;period;[171, 1080];27;;vocab
223;政府;243.73;せいふ;government;[407, 1077];27;;vocab
224;非常;243.43;ひじょう;emergency;[1760, 862];42;;vocab
225;得る;242.38;える;obtain;[941];25;;vocab
226;御;241.47;お;O;[1500];37;;vocab
227;店;240.17;みせ;shop;[632];22;;vocab
228;くらい;238.49;くらい;Adverbial/Focus particle;[];0;3;vocab
229;まだ;238.11;まだ;still;[];0;1;vocab
230;において;237.28;において;In;[];0;3;vocab
231;内容;236.88;ないよう;subject;[1095, 853];27;;vocab
232;一つ;235.68;ひとつ;one;[1];1;;vocab
233;心;234.72;こころ;heart;[639];22;;vocab
234;説明;232.04;せつめい;explanation;[538, 20];19;;vocab
235;写真;229.48;しゃしん;photograph;[1336, 79];33;;vocab
236;ただ;228.05;ただ;just;[];0;2;vocab
237;サイト;226.71;サイト;site;[];0;2;loanword
238;教育;226.58;きょういく;training;[1343, 821];34;;vocab
239;女性;226.45;じょせい;woman;[102, 1679];40;;vocab
240;子供;226.31;こども;child;[99, 1935];47;;vocab
241;方法;225.14;ほうほう;method;[529, 813];23;;vocab
242;に対して;224.28;にたいして;Compound particle;[1862];45;;vocab
243;大きい;222.41;おおきい;big;[112];7;;vocab
244;あるいは;222.4;あるいは;or;[];0;3;vocab
245;名;221.21;な;given name;[117];7;;vocab
246;利用;220.74;りよう;use;[972, 1265];31;;vocab
247;さらに;219.77;さらに;moreover;[];0;3;vocab
248;少し;217.76;すこし;a bit;[111];7;;vocab
249;紹介;216.88;しょうかい;introduction;[1459, 265];36;;vocab
250;技術;215.72;ぎじゅつ;art;[769, 1644];39;;vocab
251;いろいろ;214.35;いろいろ;various;[];0;2;vocab
252;なんて;214.08;なんて;Adverbial/Focus particle;[];0;3;vocab
253;名前;212.05;なまえ;name;[117, 309];13;;vocab
254;参加;211.93;さんか;participation;[1856, 932];45;;vocab
255;らしい;210.77;らしい;Auxiliary;[];0;3;vocab
256;分かる;210.53;わかる;I understand;[844];24;;vocab
257;大きな;210.02;おおきな;large;[112];7;;vocab
258;食べる;209.23;たべる;eat;[1582];38;;vocab
259;感じ;209.06;かんじ;Feeling;[662];22;;vocab
260;やはり;207.54;やはり;also;[];0;2;vocab
261;く;206.32;く;Ku;[];0;;morpheme
262;うち;206.09;うち;noun (inside/home);[];0;2;vocab
263;入れる;205.4;いれる;put in;[842];24;;vocab
264;見える;204.39;みえる;appear;[61];4;;vocab
265;どの;204.21;どの;Which;[];0;1;vocab
266;にとって;203.3;にとって;Compound particle;[];0;3;vocab
267;活動;202.03;かつどう;action;[154, 1806];43;;vocab
268;東京;201.93;とうきょう;Tokyo;[543, 334];19;;vocab
269;好き;201.75;すき;like;[103];6;;vocab
270;どこ;200.53;どこ;where;[];0;1;vocab
271;かなり;199.85;かなり;pretty;[];0;3;vocab
272;こんな;199.82;こんな;Like this;[];0;2;vocab
273;状況;199.37;じょうきょう;state of affairs;[254, 156];11;;vocab
274;五;198.03;ご;Five;[5];1;;vocab
275;新しい;197.61;あたらしい;new;[1619];39;;vocab
276;に対する;197.04;にたいする;against;[1862];45;;vocab
277;無い;196.81;ない;;[1913];46;;vocab
278;強い;195.51;つよい;strong;[1321];33;;vocab
279;管理;195.49;かんり;control;[1365, 283];34;;vocab
280;特に;195.39;とくに;especially;[261];11;;vocab
281;環境;195.09;かんきょう;environment;[899, 523];25;;vocab
282;ページ;194.74;ページ;page;[];0;2;loanword
283;のに;193.88;のに;Adversative particle;[];0;1;vocab
284;地域;193.1;ちいき;area;[554, 380];21;;vocab
285;始める;192.97;はじめる;start;[809];23;;vocab
286;本当に;192.95;ほんとうに;Really;[224, 1236];31;;vocab
287;悪い;192.82;わるい;bad;[1951];48;;vocab
288;実際;192.48;じっさい;practicality;[1694, 1392];40;;vocab
289;中国;192.21;ちゅうごく;China;[39, 624];22;;vocab
290;市;191.93;し;city;[440];18;;vocab
291;先;191.78;さき;destination;[263];11;;vocab
292;誰;190.95;だれ;who;[598];21;;vocab
293;個人;190.82;こじん;individual;[1047, 1023];27;;vocab
294;意見;190.46;いけん;opinion;[654, 61];22;;vocab
295;状態;189.75;じょうたい;current status;[254, 2161];54;;vocab
296;歳;189.63;とし;age;[551];20;;vocab
297;大学;189.42;だいがく;post-secondary education institution, incl. university, college, etc.;[112, 346];15;;vocab
298;多く;188.97;おおく;Many;[113];7;;vocab
299;物;188.77;もの;thing;[1129];29;;vocab
300;存在;188.45;そんざい;existence;[739, 740];23;;vocab
301;最後;188.12;さいご;last;[884, 1479];36;;vocab
302;終わる;187.65;おわる;End;[1452];36;;vocab
303;笑;187.33;えみ;lol;[1008];26;;vocab
304;つく;187.29;つく;arrive;[];0;3;vocab
305;システム;187.2;システム;system;[];0;2;loanword
306;すべて;187.14;すべて;all;[];0;2;vocab
307;彼女;187.08;かのじょ;she;[948, 102];25;;vocab
308;理解;187.03;りかい;understanding;[283, 1955];48;;vocab
309;学校;186.94;がっこう;school;[346, 1371];34;;vocab
310;部分;186.57;ぶぶん;portion;[1988, 844];49;;vocab
311;とても;186.11;とても;very;[];0;1;vocab
312;電話;185.07;でんわ;telephone call;[574, 368];21;;vocab
313;用;184.27;よう;for;[1265];31;;vocab
314;部;183.79;ぶ;Department;[1988];49;;vocab
315;県;183.71;けん;prefecture;[552];20;;vocab
316;日記;183.44;にっき;diary;[12, 568];21;;vocab
317;メール;182.73;メール;Email;[];0;2;loanword
318;いける;182.62;いける;It's possible;[];0;3;vocab
319;制度;182.61;せいど;system;[447, 1278];32;;vocab
320;続ける;182.53;つづける;continue;[1445];36;;vocab
321;使用;182.02;しよう;use;[1065, 1265];31;;vocab
322;スる;181.44;する;Slip;[];0;3;vocab
323;事業;180.72;じぎょう;project;[1240, 1931];47;;vocab
324;四;180.23;よん;four;[4];1;;vocab
325;固定;179.81;こてい;fixation;[622, 408];22;;vocab
326;調査;179.64;ちょうさ;investigation;[373, 1920];47;;vocab
327;変わる;179.63;かわる;change;[1882];45;;vocab
328;続く;179.62;つづく;To be continued;[1445];36;;vocab
329;基本;179.34;きほん;foundation;[1904, 224];46;;vocab
330;もちろん;179.33;もちろん;of course;[];0;2;vocab
331;関連;178.76;かんれん;relation;[2173, 305];55;;vocab
332;一般;178.74;いっぱん;general;[1, 2016];50;;vocab
333;あと;178.1;あと;After;[];0;1;vocab
334;開発;176.87;かいはつ;development;[1750, 1840];44;;vocab
335;あの;176.36;あの;that;[];0;1;vocab
336;音楽;175.97;おんがく;music;[518, 1872];45;;vocab
337;一番;175.91;いちばん;best;[1, 2058];52;;vocab
338;内;175.29;うち;Inside;[1095];27;;vocab
339;作品;175.26;さくひん;work;[1224, 23];31;;vocab
340;側;175.01;がわ;side;[1049];27;;vocab
341;重要;175.01;じゅうよう;important;[1805, 1730];43;;vocab
342;とる;172.48;とる;Take;[];0;3;vocab
343;最初;172.16;さいしょ;beginning;[884, 431];25;;vocab
344;様;171.57;よう;Mr.;[1003];26;;vocab
345;達;171.54;いたる;reach;[591];21;;vocab
346;国民;171.28;こくみん;nation;[624, 1976];49;;vocab
347;サービス;171.16;サービス;service;[];0;2;loanword
348;もっと;171.15;もっと;more;[];0;1;vocab
349;に関する;169.37;にかんする;Regarding;[2173];55;;vocab
350;こちら;169.02;こちら;Here;[];0;2;vocab
351;かける;168.92;かける;put on;[];0;3;vocab
352;水;168.9;みず;water;[137];8;;vocab
353;新;167.35;しん;new;[1619];39;;vocab
354;つける;167.05;つける;Put on;[];0;3;vocab
355;事件;166.62;じけん;event;[1240, 1032];31;;vocab
356;英語;166.43;えいご;English;[1878, 371];45;;vocab
357;所;166.1;ところ;place;[1208];31;;vocab
358;質問;166.04;しつもん;question;[1219, 1744];42;;vocab
359;形;165.95;かたち;shape;[1847];45;;vocab
360;ほとんど;165.92;ほとんど;largely;[];0;2;vocab
361;ふう;164.94;ふう;Phew;[];0;3;vocab
362;男;164.71;おとこ;man;[923];25;;vocab
363;はず;164.59;はず;Auxiliary;[];0;2;vocab
364;まず;164.46;まず;first;[];0;2;vocab
365;約;162.65;やく;about;[1462];36;;vocab
366;こう;162.27;こう;like this;[];0;1;vocab
367;主義;161.62;しゅぎ;doctrine;[284, 691];23;;vocab
368;下;161.22;した;under;[51];3;;vocab
369;場;161.05;ば;place;[584];21;;vocab
370;ちゃん;160.92;ちゃん;Chan;[];0;2;vocab
371;理由;160.42;りゆう;reason;[283, 1186];30;;vocab
372;書;160.28;しょ;calligraphy;[349];15;;vocab
373;社;158.75;しゃ;Company;[1173];30;;vocab
374;ン;158.39;ン;hmm;[];0;;morpheme
375;場所;158.24;ばしょ;place;[584, 1208];31;;vocab
376;機能;158.21;きのう;function;[1482, 2160];54;;vocab
377;米;157.92;べい;rice;[987];26;;vocab
378;お願い;157.28;おねがい;please;[143];8;;vocab
379;労働;157.16;ろうどう;manual labor;[924, 1809];43;;vocab
380;いつも;157.08;いつも;everytime;[];0;2;vocab
381;車;156.94;くるま;car;[304];13;;vocab
382;相手;156.65;あいて;companion;[222, 687];23;;vocab
383;国際;155.93;こくさい;international;[624, 1392];35;;vocab
384;自身;155.92;じしん;by oneself;[36, 1337];34;;vocab
385;声;155.19;こえ;voice;[2044];51;;vocab
386;取る;154.93;とる;take;[882];25;;vocab
387;計画;154.72;けいかく;plan;[359, 1254];31;;vocab
388;かかる;154.49;かかる;It takes;[];0;3;vocab
389;ほう;154.39;ほう;law;[];0;2;vocab
390;政治;154.32;せいじ;politics;[407, 807];23;;vocab
391;別;153.9;べつ;another;[94];5;;vocab
392;ばかり;153.26;ばかり;Adverbial/Focus particle;[];0;1;vocab
393;系;153.09;けい;system;[1492];36;;vocab
394;感;153.02;かん;feeling;[662];22;;vocab
395;億;152.03;おく;hundred million;[1058];27;;vocab
396;頃;151.62;ころ;Around;[479];18;;vocab
397;号;151.62;ごう;issue;[1330];33;;vocab
398;における;151.54;における;in;[];0;3;vocab
399;長;151.46;なが;long;[2070];52;;vocab
400;日本人;150.29;にっぽんじん;Japanese;[12, 224, 1023];27;;vocab
401;今後;150.17;こんご;from now on;[1711, 1479];41;;vocab
402;つまり;149.83;つまり;In other words;[];0;2;vocab
403;呼ぶ;149.08;よぶ;Call;[1597];39;;vocab
404;まま;148.88;まま;noun (state as is);[];0;2;vocab
405;下さる;148.87;くださる;Give;[51];3;;vocab
406;文化;148.58;ぶんか;culture;[1861, 1083];45;;vocab
407;体;147.55;からだ;body;[1030];27;;vocab
408;与える;146.78;あたえる;give;[1335];33;;vocab
409;こ;146.77;こ;child;[];0;;morpheme
410;ちゃう;146.45;ちゃう;No;[];0;2;vocab
411;大変;146.23;たいへん;very;[112, 1882];45;;vocab
412;彼ら;145.2;かれら;they;[948];25;;vocab
413;評価;145.09;ひょうか;valuation;[1599, 1729];41;;vocab
414;百;145.05;ひゃく;hundred;[38];3;;vocab
415;やすい;144.97;やすい;Cheap;[];0;3;vocab
416;対応;144.41;たいおう;interaction;[1862, 653];45;;vocab
417;求める;144.24;もとめる;demand;[1004];26;;vocab
418;権;144.03;けん;Rights;[613];21;;vocab
419;頭;143.8;あたま;head;[1549];38;;vocab
420;あまり;143.68;あまり;not much;[];0;3;vocab
421;子;143.56;こ;child;[99];6;;vocab
422;自由;143.0;じゆう;freedom;[36, 1186];30;;vocab
423;すぎる;142.52;すぎる;too much;[];0;3;vocab
424;昨日;141.0;きのう;yesterday;[1222, 12];31;;vocab
425;みたい;140.29;みたい;Auxiliary;[];0;2;vocab
426;すぐ;140.19;すぐ;Immediately;[];0;2;vocab
427;これから;140.17;これから;from now;[];0;3;vocab
428;戻る;140.15;もどる;return;[1162];29;;vocab
429;歴史;140.06;れきし;history;[402, 747];23;;vocab
430;全体;140.04;ぜんたい;whole;[281, 1030];27;;vocab
431;長い;140.0;ながい;long;[2070];52;;vocab
432;少ない;139.89;すくない;few;[111];7;;vocab
433;気持ち;139.81;きもち;feeling;[2030, 712];51;;vocab
434;報告;139.6;ほうこく;report;[1625, 262];39;;vocab
435;程度;139.27;ていど;degree;[960, 1278];32;;vocab
436;元;138.74;もと;Former;[63];4;;vocab
437;人々;138.57;ひとびと;each person;[1023];27;;vocab
438;予定;138.24;よてい;plans;[1719, 408];41;;vocab
439;代表;137.97;だいひょう;representative;[1080, 1666];40;;vocab
440;その後;137.68;そのご;after that;[1479];36;;vocab
441;経験;137.65;けいけん;experience;[1460, 2134];54;;vocab
442;型;137.59;かた;Type;[735];23;;vocab
443;員;136.95;いん;member;[59];4;;vocab
444;ネット;136.92;ネット;net;[];0;2;loanword
445;以外;136.82;いがい;with the exception of;[1105, 116];28;;vocab
446;なぁ;136.79;なぁ;Hey;[];0;;morpheme
447;今年;136.58;ことし;this year;[1711, 1114];41;;vocab
448;価格;136.52;かかく;price;[1729, 312];41;;vocab
449;投資;136.15;とうし;investment;[762, 512];23;;vocab
450;経営;135.9;けいえい;management;[1460, 1111];36;;vocab
451;早い;135.84;はやい;early;[26];2;;vocab
452;ニュース;135.61;ニュース;news;[];0;2;loanword
453;帰る;135.16;かえる;Go home;[1316];33;;vocab
454;それぞれ;134.39;それぞれ;each;[];0;3;vocab
455;自然;134.32;しぜん;nature;[36, 256];11;;vocab
456;商品;134.2;しょうひん;commodity;[471, 23];18;;vocab
457;なかなか;133.86;なかなか;Quite;[];0;2;vocab
458;発表;133.81;はっぴょう;announcement;[1840, 1666];44;;vocab
459;教える;133.43;おしえる;teach;[1343];34;;vocab
460;目的;133.41;もくてき;purpose;[15, 73];4;;vocab
461;影響;132.97;えいきょう;influence;[1848, 1994];49;;vocab
462;地方;132.9;ちほう;district;[554, 529];21;;vocab
463;生きる;132.89;いきる;to live;[1675];40;;vocab
464;だから;132.84;だから;that's why;[];0;1;vocab
465;テレビ;132.84;テレビ;tv set;[];0;2;loanword
466;一緒;132.07;いっしょ;together;[1, 1444];36;;vocab
467;面;132.0;めん;surface;[2039];51;;vocab
468;顔;131.48;かお;face;[1853];45;;vocab
469;選手;131.42;せんしゅ;player;[1944, 687];47;;vocab
470;楽しい;131.4;たのしい;fun;[1872];45;;vocab
471;道;130.5;みち;road;[295];13;;vocab
472;けれど;130.39;けれど;Adversative particle;[];0;2;vocab
473;みんな;130.26;みんな;everyone;[];0;1;vocab
474;子ども;130.06;こども;children;[99];6;;vocab
475;実は;129.91;じつは;actually;[1694];40;;vocab
476;確か;129.79;たしか;Certainly;[609];21;;vocab
477;でる;129.69;でる;Come out;[];0;3;vocab
478;千;129.53;せん;thousand;[40];3;;vocab
479;確認;129.28;かくにん;confirmation;[609, 643];22;;vocab
480;ありがとう;129.08;ありがとう;thank you;[];0;2;vocab
481;夜;128.74;よる;night;[1115];28;;vocab
482;例えば;128.69;たとえば;for example;[1046];27;;vocab
483;中心;128.56;ちゅうしん;center;[39, 639];22;;vocab
484;市場;128.42;しじょう;market;[440, 584];21;;vocab
485;音;128.21;おと;sound;[518];19;;vocab
486;提供;128.18;ていきょう;offer;[718, 1935];47;;vocab
487;事実;127.82;じじつ;fact;[1240, 1694];40;;vocab
488;地;127.61;ち;earth;[554];21;;vocab
489;簡単;127.43;かんたん;simple;[1749, 2078];53;;vocab
490;面白い;127.26;おもしろい;interesting;[2039, 37];51;;vocab
491;朝;127.26;あさ;morning;[53];3;;vocab
492;版;127.13;ばん;edition;[1298];32;;vocab
493;学;127.03;がく;studies;[346];15;;vocab
494;なぜ;127.02;なぜ;why;[];0;1;vocab
